Time	Channel 1	
ms	V	
		
0	1.451
1	1.444
2	1.445
3	1.438
4	1.441
5	1.443
6	1.447
7	1.455
8	1.440
9	1.439
10	1.439
11	1.421
12	1.432
13	1.443
14	1.443
15	1.436
16	1.427
17	1.434
18	1.422
19	1.433
20	1.443
21	1.455
22	1.449
23	1.451
24	1.449
25	1.435
26	1.419
27	1.427
28	1.428
29	1.433
30	1.443
31	1.443
32	1.453
33	1.462
34	1.462
35	1.451
36	1.454
37	1.460
38	1.466
39	1.485
40	1.458
41	1.465
42	1.462
43	1.472
44	1.470
45	1.468
46	1.478
47	1.488
48	1.488
49	1.487
50	1.491
51	1.488
52	1.486
53	1.474
54	1.477
55	1.498
56	1.488
57	1.487
58	1.479
59	1.479
60	1.490
61	1.487
62	1.490
63	1.499
64	1.491
65	1.485
66	1.489
67	1.490
68	1.492
69	1.483
70	1.471
71	1.483
72	1.482
73	1.465
74	1.469
75	1.468
76	1.460
77	1.465
78	1.476
79	1.469
80	1.468
81	1.463
82	1.467
83	1.471
84	1.469
85	1.457
86	1.458
87	1.465
88	1.466
89	1.468
90	1.472
91	1.469
92	1.458
93	1.440
94	1.438
95	1.440
96	1.452
97	1.444
98	1.440
99	1.437
100	1.444
101	1.445
102	1.448
103	1.460
104	1.443
105	1.446
106	1.443
107	1.435
108	1.437
109	1.438
110	1.437
111	1.427
112	1.436
113	1.426
114	1.427
115	1.419
116	1.416
117	1.403
118	1.393
119	1.385
120	1.391
121	1.392
122	1.383
123	1.385
124	1.396
125	1.390
126	1.408
127	1.400
128	1.413
129	1.424
130	1.410
131	1.418
132	1.419
133	1.421
134	1.420
135	1.422
136	1.429
137	1.435
138	1.431
139	1.429
140	1.417
141	1.426
142	1.409
143	1.405
144	1.415
145	1.430
146	1.424
147	1.415
148	1.423
149	1.430
150	1.429
151	1.438
152	1.443
153	1.458
154	1.454
155	1.427
156	1.438
157	1.432
158	1.435
159	1.438
160	1.433
161	1.427
162	1.421
163	1.421
164	1.435
165	1.437
166	1.444
167	1.447
168	1.441
169	1.444
170	1.449
171	1.463
172	1.454
173	1.466
174	1.463
175	1.475
176	1.479
177	1.470
178	1.452
179	1.440
180	1.436
181	1.425
182	1.434
183	1.440
184	1.443
185	1.435
186	1.441
187	1.429
188	1.444
189	1.445
190	1.457
191	1.461
192	1.467
193	1.463
194	1.469
195	1.468
196	1.467
197	1.469
198	1.473
199	1.459
200	1.442
201	1.457
202	1.451
203	1.463
204	1.455
205	1.457
206	1.458
207	1.447
208	1.435
209	1.437
210	1.438
211	1.446
212	1.448
213	1.465
214	1.457
215	1.452
216	1.462
217	1.437
218	1.435
219	1.433
220	1.424
221	1.420
222	1.428
223	1.426
224	1.434
225	1.451
226	1.454
227	1.449
228	1.447
229	1.452
230	1.458
231	1.477
232	1.464
233	1.471
234	1.490
235	1.484
236	1.484
237	1.479
238	1.484
239	1.487
240	1.491
241	1.485
242	1.499
243	1.511
244	1.513
245	1.493
246	1.495
247	1.493
248	1.482
249	1.467
250	1.453
251	1.462
252	1.465
253	1.458
254	1.462
255	1.457
256	1.463
257	1.454
258	1.456
259	1.449
260	1.454
261	1.477
262	1.473
263	1.471
264	1.466
265	1.452
266	1.449
267	1.449
268	1.463
269	1.475
270	1.488
271	1.458
272	1.468
273	1.460
274	1.450
275	1.447
276	1.460
277	1.466
278	1.458
279	1.463
280	1.468
281	1.483
282	1.473
283	1.472
284	1.479
285	1.478
286	1.484
287	1.476
288	1.474
289	1.476
290	1.479
291	1.469
292	1.484
293	1.473
294	1.471
295	1.473
296	1.471
297	1.474
298	1.460
299	1.453
300	1.446
301	1.443
302	1.449
303	1.457
304	1.465
305	1.476
306	1.457
307	1.465
308	1.468
309	1.460
310	1.461
311	1.460
312	1.460
313	1.454
314	1.443
315	1.457
316	1.466
317	1.464
318	1.458
319	1.447
320	1.437
321	1.429
322	1.461
323	1.483
324	1.469
325	1.454
326	1.444
327	1.457
328	1.447
329	1.432
330	1.415
331	1.415
332	1.419
333	1.420
334	1.416
335	1.400
336	1.411
337	1.404
338	1.416
339	1.438
340	1.441
341	1.453
342	1.444
343	1.454
344	1.471
345	1.460
346	1.468
347	1.463
348	1.468
349	1.462
350	1.458
351	1.449
352	1.454
353	1.452
354	1.423
355	1.410
356	1.416
357	1.416
358	1.421
359	1.413
360	1.424
361	1.428
362	1.448
363	1.457
364	1.455
365	1.457
366	1.455
367	1.461
368	1.460
369	1.462
370	1.466
371	1.458
372	1.451
373	1.446
374	1.471
375	1.468
376	1.462
377	1.461
378	1.457
379	1.451
380	1.455
381	1.447
382	1.436
383	1.424
384	1.429
385	1.418
386	1.417
387	1.418
388	1.413
389	1.410
390	1.426
391	1.432
392	1.422
393	1.440
394	1.443
395	1.439
396	1.438
397	1.441
398	1.437
399	1.435
400	1.430
401	1.429
402	1.430
403	1.419
404	1.430
405	1.430
406	1.425
407	1.422
408	1.426
409	1.425
410	1.421
411	1.409
412	1.411
413	1.416
414	1.408
415	1.415
416	1.416
417	1.425
418	1.438
419	1.413
420	1.393
421	1.400
422	1.399
423	1.405
424	1.402
425	1.396
426	1.402
427	1.389
428	1.378
429	1.392
430	1.400
431	1.405
432	1.404
433	1.402
434	1.399
435	1.398
436	1.402
437	1.413
438	1.410
439	1.418
440	1.412
441	1.429
442	1.430
443	1.455
444	1.453
445	1.461
446	1.451
447	1.457
448	1.451
449	1.438
450	1.440
451	1.436
452	1.434
453	1.433
454	1.430
455	1.424
456	1.430
457	1.444
458	1.449
459	1.438
460	1.434
461	1.430
462	1.426
463	1.433
464	1.438
465	1.441
466	1.460
467	1.473
468	1.474
469	1.471
470	1.458
471	1.455
472	1.460
473	1.463
474	1.462
475	1.455
476	1.458
477	1.454
478	1.447
479	1.455
480	1.466
481	1.451
482	1.458
483	1.450
484	1.449
485	1.467
486	1.456
487	1.460
488	1.455
489	1.455
490	1.451
491	1.451
492	1.455
493	1.440
494	1.451
495	1.446
496	1.451
497	1.451
498	1.469
499	1.452
500	1.456
501	1.433
502	1.441
503	1.435
504	1.438
505	1.437
506	1.426
507	1.437
508	1.434
509	1.426
510	1.435
511	1.440
512	1.436
513	1.432
514	1.433
515	1.430
516	1.429
517	1.424
518	1.424
519	1.421
520	1.419
521	1.418
522	1.415
523	1.426
524	1.421
525	1.417
526	1.419
527	1.420
528	1.415
529	1.400
530	1.414
531	1.415
532	1.438
533	1.435
534	1.429
535	1.421
536	1.414
537	1.421
538	1.423
539	1.426
540	1.429
541	1.418
542	1.422
543	1.419
544	1.419
545	1.426
546	1.404
547	1.411
548	1.415
549	1.414
550	1.421
551	1.419
552	1.419
553	1.415
554	1.409
555	1.418
556	1.405
557	1.408
558	1.413
559	1.417
560	1.402
561	1.401
562	1.399
563	1.399
564	1.403
565	1.402
566	1.404
567	1.405
568	1.410
569	1.390
570	1.394
571	1.415
572	1.410
573	1.411
574	1.412
575	1.404
576	1.392
577	1.393
578	1.403
579	1.397
580	1.404
581	1.399
582	1.405
583	1.408
584	1.411
585	1.415
586	1.396
587	1.394
588	1.398
589	1.394
590	1.402
591	1.413
592	1.400
593	1.408
594	1.415
595	1.411
596	1.413
597	1.419
598	1.401
599	1.400
600	1.408
601	1.418
602	1.413
603	1.422
604	1.417
605	1.415
606	1.432
607	1.435
608	1.418
609	1.412
610	1.407
